转发者ID,转发者昵称,转发内容,点赞数,发布时间
3837272140,李茂盛中医师,#天气与健康# 10月28日 20:08 来自nova 11 SE,0,2025-10-28 20:08
5695608993,鬼疡,转发文本在此 10月28日 18:59 来自微博手机版,0,2025-10-28 18:59
2302075733,RussiaRen2025,转发微博 10月28日 17:30 来自vivo S20,0,2025-10-28 17:30
5780949476,顺义文旅,转发微博 10月28日 17:02 来自微博网页版,0,2025-10-28 17:02
